Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Guinea,-5.15278882927854,3.19778492538852,27,57.2,2.84386697985157,2.82842712474619,6.91375440697744,979.69,4.5194344066843,8.03174469241273,1306.0996,19.1,-4.17284762371004,6.96979066990159,-0.704982269280583,-1655.0262837792,-3.39256263125742,-1.24498995979887,1.1,-3.40784192438082,23.5,2.81891949282596,5.50454357780915,-7.24568837309472,-2,3.93182563272433,3.22107650080363
Greece,-2.76940569567966,3.77509100258671,54.2,78.4,3.53034833532606,6.13188388670236,7.00713921654194,3387.24,6.90622740803503,9.91822104352893,6250.167364,45.3,-1.28093384546206,9.88241712191684,-0.293257565972304,-1673.05469127581,-0.555966536048191,-0.806225774829855,10.2,-2.56494935746154,39.1,2.31458905452588,4.37035467668243,-5.41294744108974,-2,3.40119738166216,2.81255155088271
Guatemala,-3.32868884116271,3.19778492538852,21.2,50,2.92401773821287,3.37638860322683,6.49615270756469,2410.81,5.15528966152755,8.32488833371956,2606.510916,23.2,-3.09557760852371,8.43814998407579,-0.553172667437573,-1662.88454199322,-6.05383882892979,-1.11803398874989,2.4,-2.81540871942271,23.5,2.4607193789209,4.60434577328853,-5.46808924579693,-3.3166247903554,3.63758615972639,3.21839221955
Croatia,-3.07856827913314,3.76335975540232,55.2,72.3,3.18797570754783,6.81909084849293,7.00713921654194,4651.24,6.9350848804359,12.4782722750788,3242.960809,43.9,-1.38629436111989,9.60595714402953,-0.353553390593274,-1661.05869854139,-3.94514068366984,-0.774596669241483,9.2,-2.60268968544438,36.6,2.55606655048144,5.69209978830308,-5.9916608715781,-1,3.2188758248682,2.9037633538679
Haiti,-3.63124212944487,3.15817979882819,31.5,48.3,2.76329648825463,3.25576411921994,6.95701085237043,835.21,5.62016075362189,7.23133817208821,3055.657284,24.1,-3.90197266957464,6.62671774924902,-0.676756972627545,-1701.20898187142,-9.55242868388297,-1.20415945787923,2.7,-2.72129542785223,8.3,2.98136597887185,4.94974746830583,-6,-4,4.40671924726425,2.73290502817738
Hungary,-1.8219504415072,3.77976314968462,56.4,55.5,3.73729030564404,6.04979338490167,7.67463354173996,4651.24,7.16492895265206,12.7875447312219,5090.965201,43.6,-1.28093384546206,9.70966005555597,-0.343511280746353,-1639.8515176686,-2.78349232702698,-0.670820393249936,11.3,-2.4423470353692,30.6,2.84386697985157,5.47722557505166,-5.33853912601566,-0,3.09104245335832,2.78637407026498
India,-4.2218034975722,3.5959831740739,34.9,47.4,3.74205726273154,6.53452370108182,6.9065186599328,2959.36,6.90843229550737,5.98936692763958,1158.0409,28.7,-3.39785848039664,7.6515955738576,-0.562138772902208,-1648.97301372703,-4.24497452712282,-1.09544511501033,5.5,-3.52636052461616,27,2.85617824579896,5.07937003968012,-5.74456264653803,-2.64575131106459,2.99573227355399,4.50605893443995
Ireland,-2.62019435966059,3.89299641587326,63.9,78,3.55952609102092,6.34034699365894,7.26636084983398,5990.76,7.11506415508915,13.1979320162668,3990.4489,37.8,-1.1314021114911,11.2729027588468,-0.134164078649987,-1612.79012893805,-2.10167312801601,-0.5,12.9,-2.53369681395743,23.6,2.17576711391712,4.43846820423443,-5.85662018573853,-2,3.2188758248682,2.13196013209801
Iran,-2.70805020110221,3.35310471806242,44.7,37.7,3.2300553687627,5.8821764679411,5.35723809439155,2530.09,6.33975778209485,7.38755009926836,5609.710404,31.7,-2.51769647261099,8.64839687703158,-0.397492138287036,-1730.34967564363,0.166587989456691,-0.670820393249936,1,-2.4932054526027,14,2.4552020523843,4.43846820423443,-5.81377674149945,-0,3.40119738166216,3.65979811561718
Iceland,-5.19202211639226,3.59082023348607,35.3,37.2,3.53034833532606,6.81175454637056,6.57267069006199,6593.44,7.20663806388999,9.40112281049982,8800.878969,37.1,-0.405465108108164,11.1116266657315,-0.144913767461894,-1648.39679689085,-1.84144399496467,-0.866025403784439,9.1,-2.77258872223978,13.8,2.08775947866345,4.43846820423443,-6,-2,2.94443897916644,1.89525740676369
